playerName,yearsOfData,AVGSGAPP,AVGSGPutting,AVGSGOffTee,AVGSGAGR,Scrambling%,BirdieOrBetter%,GreensInRegulation%,ScoringAverage,AvgDrivingDistance,Par3ScoringAvg,Prox175to200,recentFormScore
Jackson Suber,2,-0.29507692307692307,-0.17153846153846153,-0.31784615384615383,0.21715384615384614,0.5801615384615385,0.2251,0.6827307692307693,71.67838461538462,306.0230769230769,3.0415384615384613,32.46053484976562,-2.103
Danny Walker,2,-0.324,0.14015384615384616,-0.18423076923076923,-0.19415384615384615,0.5666538461538462,0.24003846153846153,0.6436615384615385,71.61984615384615,306.54615384615386,3.0799999999999996,34.25711154257068,-0.93
Emiliano Grillo,5,-0.03413999999999999,0.08529999999999999,0.06115999999999999,0.18333,0.5802789999999999,0.21780799999999997,0.6739049999999999,71.00646,298.001,3.0383,33.029678476521816,-1.718
Patrick Rodgers,5,0.18312,0.12379,0.12155999999999999,-0.07443999999999999,0.616956,0.23038,0.676221,70.71149,308.136,3.0132999999999996,33.17086928686964,0.83
Matti Schmid,4,-0.2261145833333333,0.2544166666666667,0.13464583333333333,-0.10696874999999999,0.566009375,0.23936354166666668,0.6839625000000001,71.03737500000001,309.815625,3.0321875,31.20344069510997,-0.757
Davis Thompson,4,0.7196041666666668,-0.3293125,0.37365625,0.16125,0.597553125,0.23015000000000002,0.696821875,70.76357291666667,305.46666666666675,3.0436458333333336,31.813026080693177,-0.451
Jacob Bridgeman,3,0.03564367816091952,0.6135977011494254,-0.08071264367816093,0.038310344827586204,0.6245885057471264,0.24394712643678163,0.6683287356321838,70.43157471264368,302.4850574712644,3.0198850574712646,33.974956762083174,1.992
Chandler Blanchet,1,-0.31,-1.646,-0.112,0.505,0.557,0.2111,0.7073999999999999,71.916,290.3,3.03,34.36405263157895,-1.956
Davis Riley,5,-0.8785500000000002,0.23329,-0.5443,-0.40544,0.577904,0.225093,0.6386400000000001,71.66062,304.082,3.1293000000000006,36.28760653815556,-1.838
Austin Eckroat,4,0.14215625,-0.12611458333333336,0.19206250000000002,0.2889583333333334,0.5543750000000001,0.22292395833333334,0.6785249999999999,71.18061458333332,299.73958333333337,3.023125,32.595484558299596,-0.668
Kevin Streelman,4,-0.10436000000000002,0.05678000000000001,-0.13046000000000002,-0.09874,0.5944760000000001,0.216906,0.6843400000000002,71.38924,295.588,3.0404000000000004,35.79355630291006,-0.015
Denny McCarthy,5,-0.09237999999999999,0.58351,-0.25305,0.07558000000000001,0.626152,0.213527,0.657276,70.62331999999999,294.091,3.003,34.59191325019225,-0.592
Peter Malnati,5,-1.0648900000000001,0.21184,-0.6530899999999998,-0.6288600000000001,0.5905240000000002,0.203637,0.619087,71.90916,298.651,3.0782,36.131838509149496,-1.456
Brian Campbell,2,-1.153153846153846,0.19615384615384615,-0.9866153846153846,-0.178,0.578,0.20209230769230768,0.6029461538461538,71.85376923076922,278.1461538461538,3.099999999999999,33.76081691347868,-1.897
Adam Svensson,5,0.3143,-0.49015000000000003,-0.11717000000000001,0.27584,0.6044499999999999,0.21195299999999997,0.685247,71.13059,295.202,3.0451,31.78510348895861,-0.695
Blades Brown,1,-1.939,0.502,-0.616,-1.533,0.6042000000000001,0.2833,0.7333,,311.7,2.85,,-1.437
Rafael Campos,3,-1.0586551724137931,-0.15288505747126438,-0.3085632183908046,-0.35681609195402303,0.5578091954022989,0.21158620689655175,0.6476678160919541,72.22111494252874,304.7942528735632,3.1248275862068966,33.42298534449691,-1.719
Hank Lebioda,3,-0.5970714285714286,-0.18203571428571427,-0.07664285714285715,-0.23996428571428574,0.5983142857142857,0.17720714285714287,0.6853357142857143,72.06775,296.4714285714286,3.103571428571429,38.09560039495572,-0.897
Max Homa,5,-0.03214000000000001,0.13728999999999997,-0.01748000000000001,-0.008839999999999999,0.606529,0.22526599999999997,0.660052,71.15094,302.05800000000005,3.0351000000000004,33.65557835966491,0.449
Rico Hoey,3,0.8180344827586206,-0.7142873563218392,0.5754252873563219,0.4082183908045977,0.5842977011494253,0.23757011494252872,0.7113390804597701,70.83536781609196,307.48390804597705,3.054942528735632,31.12755028329784,-1.121
Lucas Glover,5,0.5758700000000001,-0.32408,0.05469,0.42941,0.601434,0.21819500000000003,0.663626,70.97472,290.08399999999995,3.0288,31.875896942158533,-0.896
Mackenzie Hughes,5,-0.038209999999999994,0.25018,-0.24618999999999996,-0.14198,0.621553,0.20894200000000004,0.656285,70.95890999999999,300.519,3.0395,35.50741688628128,0.158
S.H. Kim,3,-0.4992173913043479,0.4307391304347826,0.06491304347826087,-0.7122173913043479,0.6291847826086958,0.22658043478260873,0.630386956521739,71.13763043478261,304.7739130434782,3.051304347826087,35.92169396907821,-0.231
John VanDerLaan,1,-0.603,-0.028,-0.224,-0.254,0.6038,0.21640000000000004,0.6901,71.537,305.2,3.07,39.888888888888886,-0.631
Garrick Higgo,5,-0.29161,0.23489000000000007,0.07301,-0.32472999999999996,0.609076,0.24131599999999997,0.68383,71.02753,308.67299999999994,2.9908,36.13681072662776,-2.001
Kevin Yu,4,0.51846875,-0.3617916666666666,0.5191145833333334,0.15712500000000001,0.5501281250000001,0.23746041666666667,0.7065750000000001,71.01494791666667,308.3354166666667,3.0258333333333334,32.65334611335256,-2.275
Andrew Novak,5,0.18901000000000004,0.08308000000000001,-0.0019699999999999865,0.05199,0.6033400000000001,0.22169700000000003,0.6470509999999999,70.84391000000001,299.156,3.0412,33.250039310016405,-0.655
Adrien Saddier,1,-0.4719999999999999,0.149,0.10599999999999998,-0.569,0.5577000000000001,0.213,0.679,72.066,299.1,3.17,34.74285714285714,-0.324
Sahith Theegala,5,0.12133000000000002,0.07791999999999999,-0.055760000000000004,0.08259,0.5925849999999999,0.22927299999999998,0.6647260000000002,70.99754,303.357,3.0328999999999997,33.81475856196136,1.0
Gordon Sargent,1,-1.267,-0.384,0.54,-1.7059999999999997,0.5538000000000001,0.2137,0.7222,71.956,315.5,3.23,35.5625,-1.651
Henrik Norlander,4,0.23834117647058828,-0.2374235294117647,-0.1956235294117647,0.5471529411764705,0.6256223529411765,0.21285647058823529,0.6968647058823527,71.08651764705883,294.7211764705882,3.0388235294117645,30.06737354727385,
Matthieu Pavon,3,-0.7789195402298851,0.20310344827586208,-0.012482758620689653,-0.33508045977011497,0.5674367816091954,0.2057310344827586,0.6562896551724139,71.67231034482758,300.38275862068963,3.054942528735632,34.45907133747808,-0.063
Patton Kizzire,5,0.002450000000000007,-0.15882000000000002,-0.44203000000000003,0.10912,0.59989,0.228842,0.670057,71.38719,299.36400000000003,3.0564999999999998,34.99751083327094,-0.146
David Lipsky,5,0.12975,-0.18653,-0.27858,0.28842,0.605122,0.2224,0.6756010000000001,71.38194,292.178,3.0486999999999997,32.01634017711802,0.985
Zecheng Dou,2,0.3403749999999999,-0.185625,-0.246125,0.39862499999999995,0.59885,0.23157500000000003,0.6781125,71.344625,307.725,3.02,31.798463453226308,0.47
Chad Ramey,5,-0.30766000000000004,0.31126000000000004,-0.0441,-0.17617999999999998,0.6027480000000001,0.221163,0.6812480000000001,71.08758,297.961,3.0117000000000003,34.62531972925354,0.222
Kensei Hirata,1,-0.37,-0.272,0.34,-0.484,0.5392,0.193,0.7018000000000001,72.112,296.6,3.07,33.633720930232556,-0.643
Sungjae Im,4,0.24070588235294121,0.1282705882352941,0.3526470588235294,-0.5402941176470588,0.6190094117647059,0.23185882352941178,0.6404976470588235,70.52431764705884,297.96588235294115,3.0643529411764705,34.68586133949562,
Vince Whaley,4,-0.4122637362637362,0.4468131868131868,-0.2723956043956044,-0.2865714285714286,0.6385978021978023,0.22808461538461536,0.664932967032967,70.86501098901098,305.32417582417577,2.995164835164835,32.4576913515423,-0.863
Matt Wallace,5,0.11333999999999998,0.041909999999999996,-0.19558999999999999,-0.027579999999999983,0.6090250000000001,0.218246,0.673837,70.86804,301.705,3.09,37.31666726864795,-0.713
