Player,composite,avgFinish,top5%,top10%,top20%,cutProb%,yearsOfData,yearsPlayed
Jordan Smith,0.3302517539369448,46.7,2.4,7.2,18.0,64.5,1,
Keith Mitchell,0.6638989975494185,47.5,4.8,12.1,26.8,71.9,5,5.0
Sepp Straka,0.8421318546134164,47.8,6.4,15.4,32.1,75.4,5,5.0
Justin Thomas,0.5692291044216718,47.9,3.9,10.5,24.1,69.7,4,5.0
Cameron Young,0.4947175235855557,49.0,3.4,9.3,21.9,67.8,5,5.0
Matt Fitzpatrick,0.3555733711320277,49.1,2.6,7.5,18.7,64.9,5,5.0
Lucas Glover,0.32087208309137627,49.1,2.5,7.0,17.8,64.2,5,5.0
Ryo Hisatsune,0.25771014190988545,49.5,2.1,6.4,16.5,62.6,3,5.0
Ricky Castillo,0.34542054841644876,49.8,2.5,7.3,18.5,64.8,2,5.0
Lee Hodges,0.3183028699248559,50.1,2.4,6.9,17.8,63.8,5,
Pierceson Coody,0.5740931464422342,51.6,3.8,10.5,24.1,69.9,3,
Daniel Berger,0.589333063384438,51.9,4.0,10.9,24.9,70.1,3,5.0
A.J. Ewart,0.3613102320076313,51.9,2.6,7.5,18.6,64.9,1,
Jake Knapp,0.6144995552460153,52.2,4.3,11.2,25.2,70.9,3,5.0
Rickie Fowler,0.21225158524632184,52.4,2.0,5.9,15.6,61.7,5,5.0
Aaron Rai,0.42785635631808944,52.5,3.0,8.3,20.3,66.2,5,5.0
Ben Griffin,0.6734907407925039,52.6,4.8,12.3,27.0,72.0,4,5.0
Michael Thorbjornsen,-0.030614406897086322,52.9,1.1,3.8,11.2,55.5,2,
Taylor Pendrith,0.3229974657715528,53.1,2.4,7.1,17.9,63.9,5,5.0
Jacob Bridgeman,0.4200834680302127,53.5,3.0,8.2,20.1,66.3,3,5.0
Harris English,0.2138908537138145,55.0,2.0,5.8,15.4,61.4,4,5.0
Sam Stevens,-0.09831815633044136,55.0,1.0,3.3,9.9,53.8,4,5.0
Matt McCarty,0.02091888601434655,55.1,1.2,4.1,11.8,57.0,2,5.0
